filename,contrast_05,contrast_25,contrast_50,contrast_75,contrast_95,rolloff_05,rolloff_25,rolloff_50,rolloff_75,rolloff_95
01 Daryl Hine I006-11-158.ogg,19.5472812325265,21.589537477496464,24.451011219311752,28.363436480586874,32.46085843935283,1356.591796875,2314.8193359375,3337.646484375,9539.208984375,13199.853515625
01 David McFadden and Gerry Gilbert 2.ogg,21.04087748381722,23.190278352562053,26.060279756685503,29.16049938387941,32.63887128557075,2282.51953125,3186.9140625,4801.904296875,7213.623046875,9657.6416015625
01 David McFadden and Gerry Gilbert.ogg,20.86700931666776,22.82278326119486,25.700315738393193,29.243272386981744,33.081641143847094,2497.8515625,3423.779296875,5124.90234375,7256.689453125,9194.677734375
01 Diane Wakowski.ogg,21.205678532239446,23.152783691745825,26.268314377777372,29.938645496837218,32.99053164786377,2659.3505859375,3208.447265625,4015.9423828125,6976.7578125,9420.7763671875
01 Dorothy Livesay.ogg,20.367579842797745,22.39124238259099,26.242099285375236,30.524512424293814,33.89168262780279,2067.1875,3003.8818359375,5447.900390625,12898.388671875,14836.376953125
01 Earle Birney I006-11-018.1.ogg,20.388231403560695,22.64104815629968,25.667383878828446,29.73462665179857,33.67623314785899,2530.1513671875,3176.1474609375,4328.173828125,11412.59765625,14222.6806640625
01 Earle Birney I006-11-018.2.ogg,20.580647417659367,22.699409516990393,25.63474270195105,29.693243497877987,33.617796379604776,2551.6845703125,3262.2802734375,5318.701171875,12080.126953125,14287.2802734375
01 Eli Mandel.ogg,20.490230986142052,22.425303957537132,25.39732794887926,29.541761258131384,33.15846931477683,4123.6083984375,5760.1318359375,7353.5888671875,11531.0302734375,13748.9501953125
01 Gary Snyder I006-11-106=AC1.ogg,19.51421819954229,21.270644286679705,23.6017318087313,27.942239776431464,32.388763534835114,2627.05078125,5663.232421875,9646.875,13964.2822265625,14750.244140625
01 Gary Snyder I006-11-106=AC2.ogg,19.901409870887807,21.776099248921664,23.8248511124173,27.230907366173515,32.03890921492676,2691.650390625,5889.3310546875,9679.1748046875,13189.0869140625,14847.1435546875
01 George Bowering I006-11-034.1.ogg,21.58282246689157,23.242864911787617,24.702603938812324,26.723181131668287,30.336367634866424,1733.4228515625,2487.0849609375,3972.8759765625,8548.681640625,13845.849609375
01 George Bowering I006-11-034.2.ogg,21.67126172565685,23.350357606824137,24.87211297954577,27.007377611471533,30.768521481630298,1701.123046875,2454.78515625,3789.84375,8777.471923828125,14147.314453125
01 George Bowering I086-11-006.ogg,21.277187595066835,23.046091814664173,24.89574229179941,27.635700450711276,31.032618089043808,2314.8193359375,3229.98046875,5630.9326171875,9237.744140625,11487.9638671875
01 Henry Beissel.ogg,19.78698741983003,21.78657239859765,24.536977660038385,28.83656568643866,33.037695122387994,2723.9501953125,3563.7451171875,7073.6572265625,12532.32421875,14244.2138671875
01 Jackson MacLow 3.ogg,24.03644402165229,25.758738411113235,27.173890114928998,28.857837885274744,31.64845058304617,3262.2802734375,4080.5419921875,5146.435546875,6535.3271484375,9388.4765625
01 James Wright I006-11-157.ogg,19.99856761773578,21.51829706142537,23.317655818473092,26.67684563618777,30.879499720710605,1356.591796875,2164.0869140625,2810.0830078125,3660.64453125,5824.7314453125
01 Jerome Rothenberg I006-11-095.1.ogg,21.243998512468107,23.8690387152782,27.808764296356316,30.48468073909338,32.9849580353182,3219.2138671875,3962.109375,4489.6728515625,5200.2685546875,6653.759765625
01 Jerome Rothenberg I006-11-095.2.ogg,21.573858386010176,24.11991836729051,27.317944028848,29.78412943312911,32.189237962406,3262.2802734375,4026.708984375,4565.0390625,5307.9345703125,6535.3271484375
01 John Logan  I006-11-163.2.ogg,20.6541788934249,22.461383545711698,24.976499036068496,29.611103862335103,33.69436848287502,2648.583984375,3725.244140625,6136.962890625,10917.333984375,12543.0908203125
01 John Logan 1.ogg,20.706822368968318,22.503008651860874,24.980832627101638,29.89180743378688,33.91203874214366,2583.984375,3520.6787109375,5792.431640625,10831.201171875,12586.1572265625
01 John Newlove I006-11-143.ogg,20.976786000024738,22.951281426701193,24.880284568030675,27.62640533816626,31.5744514526449,2422.4853515625,3122.314453125,4371.240234375,9043.9453125,13006.0546875
01 John Weiners.ogg,21.205101212039704,22.75362636463055,24.42983705297083,26.99308640907367,30.6100079895266,4726.5380859375,9130.078125,11897.0947265625,13361.3525390625,14061.181640625
01 Joseph Langland I006-11-126.2.ogg,21.01976514998089,23.11495390131862,25.619669309923022,29.08054998037711,33.368598029975615,3122.314453125,3811.376953125,7353.5888671875,11972.4609375,14341.11328125
01 Kenneth Koch I006-11-039.1.ogg,21.057280558667557,22.813202149979624,24.923743953296153,27.99776747489362,31.519266522122248,3682.177734375,6395.361328125,9410.009765625,11724.8291015625,12639.990234375
01 Kenneth Koch I006-11-039.21.ogg,21.266478690832308,22.987775051373525,25.013936973298293,27.88784088804029,31.338276112661696,3779.0771484375,6987.5244140625,9733.0078125,11735.595703125,12693.8232421875
01 L.E. Sissman.ogg,20.782729839164,22.439341113053935,24.773311031466417,29.062290144134774,32.92850485047497,1270.458984375,2228.6865234375,2950.048828125,6158.49609375,8085.7177734375
01 Margaret Atwood (NEW_) I006-11-008.ogg,20.15244660965213,22.621291828089788,25.62855189324796,29.831226166731987,33.60371812893581,2314.8193359375,3348.4130859375,4931.103515625,10594.3359375,15202.44140625
01 Margaret Avison I086-11-002.2.ogg,21.859510925061983,23.965955345588448,26.850686722510225,30.07798772313261,32.73260849701663,3736.0107421875,4349.70703125,5932.3974609375,7891.9189453125,10239.0380859375
01 Michael McClure I006-11-160.2.ogg,20.256606239831477,25.44874377551249,28.726038139362295,30.782511222901956,32.99866953482984,2831.6162109375,3326.8798828125,3682.177734375,4726.5380859375,14254.98046875
01 Mike Gnarowski.ogg,20.492634345836098,22.878641368142866,26.429349182481495,30.606990807705408,33.89713893177537,2454.78515625,3057.71484375,3477.6123046875,8591.748046875,12392.3583984375
01 Milton Kessler.ogg,21.554649065333425,23.14553589398938,25.264574570019153,29.617773648219515,33.448808325344956,3229.98046875,3929.8095703125,4489.6728515625,4812.6708984375,6083.1298828125
01 Muriel Rukeyser.ogg,22.326982892816503,23.93153313619651,25.92556406613614,29.21972267135226,32.12584034388234,2777.783203125,3305.3466796875,3692.9443359375,4155.908203125,7095.1904296875
01 Phyllis Webb.ogg,20.42887430125482,22.093824176023688,24.2355900379876,28.21115209117023,31.559656631120152,2271.7529296875,3111.5478515625,4898.8037109375,8882.4462890625,10777.3681640625
01 Richard Sommer.ogg,19.863622982169176,21.442202678506114,23.592530287663493,27.75118703081129,31.989057766823343,2530.1513671875,3273.046875,8441.015625,12672.2900390625,13856.6162109375
01 Robert Creeley 1006-11-089.2.ogg,20.324427543117455,22.145491007615178,24.403999186295124,28.272520355031805,32.24565327841117,1658.056640625,2379.4189453125,3531.4453125,6707.5927734375,8494.8486328125
01 Robert Creeley I006-11-089.1=Ac.2.ogg,21.55281526414419,23.578324738741422,25.455770848256286,27.62070585223409,30.867976958931518,3789.84375,4866.50390625,6556.8603515625,9474.609375,12370.8251953125
01 Robert Creeley.ogg,21.187884372538285,22.900692454290407,24.89161436192662,27.570462100121865,31.484596620267624,3380.712890625,4274.3408203125,5727.83203125,8871.6796875,10260.5712890625
01 Robert Hogg I086-11-023.ogg,21.26786681391017,22.943585863895958,25.423127324724433,29.61288727288779,33.07039410678801,3100.78125,3649.8779296875,7504.3212890625,10928.1005859375,11746.3623046875
01 Robert Kelly.ogg,19.644755189608574,21.499681163344686,23.746582563802182,27.703874991705554,32.09237641147196,1561.1572265625,2336.3525390625,7665.8203125,11509.4970703125,13296.7529296875
01 Robin Blaser I086-11-005.1.ogg,21.711732490667323,23.315704908120054,24.79417745380847,26.85628154178721,29.998356461144496,2627.05078125,3423.779296875,4866.50390625,6642.9931640625,8430.2490234375
01 Robin Blaser I086-11-005.2.ogg,22.100350099586215,23.694048414987897,25.15686034115766,27.154143164416297,30.290025623381304,3251.513671875,4748.0712890625,6363.0615234375,7902.685546875,10346.7041015625
01 Ron Loewinsohn.ogg,20.537893278411204,22.219504906149872,24.59965704326425,28.375691266859043,32.151805536551365,2228.6865234375,3262.2802734375,6363.0615234375,11154.19921875,12263.1591796875
01 Roy Kiyooka.ogg,23.46764554556431,24.982664883768948,26.71469439847207,29.837551575621255,33.81633013842744,3660.64453125,4715.771484375,6104.6630859375,7224.3896484375,8085.7177734375
01 Stan Persky I006-11-137.ogg,21.472885817753447,24.06367099288236,27.4736195261079,30.747997259855318,34.071506124647755,2217.919921875,2885.44921875,3445.3125,5006.4697265625,7062.890625
01 Ted Berrigan 1086-11-004.ogg,20.1836181719596,22.282198987050744,25.420539896161493,30.012654144065795,34.068825154684006,1862.6220703125,2605.517578125,4349.70703125,9765.3076171875,11897.0947265625
01 Victor Coleman Reading.ogg,19.481264996589175,21.256236989748242,23.237905618435608,26.279539372996773,30.44329331195508,2540.91796875,3229.98046875,7009.0576171875,12833.7890625,14136.5478515625
01 _Elly Mandell_ I006-11-029 NEW.ogg,21.267602411840336,23.24625960427151,24.944927261660354,26.70673291389898,29.208476054610564,1205.859375,1614.990234375,3606.8115234375,9689.94140625,13544.384765625
01 bp Nichol & Lionel  Keanrs 1086-11-026.2.ogg,21.569297996293013,23.534689617023243,25.865114954906904,28.528223176503328,31.555503839795993,2411.71875,3176.1474609375,4661.9384765625,7934.9853515625,11197.265625
01 bp Nichol & Lionel kearns I086-11-026.1.ogg,21.532637660572142,23.77384414494687,25.961554153165828,28.59469368970874,31.87594240469803,3359.1796875,4446.6064453125,6223.095703125,9323.876953125,13425.9521484375
1-01 Allen Ginsberg 2.ogg,21.5003785105467,25.080368288696093,28.83723857317805,31.354485128940194,33.82765595357105,4371.240234375,5383.30078125,5921.630859375,7708.88671875,12241.6259765625
1-01 Allen Ginsberg 3.ogg,21.5003785105467,25.080368288696093,28.83723857317805,31.354485128940194,33.82765595357105,4371.240234375,5383.30078125,5921.630859375,7708.88671875,12241.6259765625
1-01 Anthony Hecht I006-11-041.ogg,20.24876615197311,22.053062473153872,23.95405404447246,26.694327329156707,30.424731358332668,1873.388671875,2637.8173828125,3822.1435546875,8796.3134765625,12693.8232421875
1-01 David Ball and Tom Raworth 2.ogg,20.26807038800384,22.130099175188565,24.6456338717434,28.042410192650948,32.23553290064078,2174.853515625,2874.6826171875,3800.6103515625,6944.4580078125,8322.5830078125
1-01 F.R. Scott.ogg,21.36038112111906,22.933213499685934,24.4923665960802,27.067894288278055,31.262559510175976,2702.4169921875,3951.3427734375,6890.625,9883.740234375,11929.39453125
1-01 George Oppen.ogg,22.47222162779665,24.19712655352524,25.788517325259885,27.440005995738783,29.66590313635041,2853.1494140625,3165.380859375,3434.5458984375,3800.6103515625,4909.5703125
1-01 Jackson MacLow 2.ogg,23.966922797424438,25.65088030444516,27.01676184052352,28.630665881198354,31.2949981169036,3283.8134765625,4403.5400390625,5221.8017578125,6169.2626953125,7644.287109375
12-01 Michael McClure I006-11-160.1.ogg,20.13936480431957,22.14511680681593,24.813729853748022,27.68954955927448,31.07145795102958,2659.3505859375,4306.640625,9948.33984375,14459.5458984375,15277.8076171875
2-01 Daphne Marlatt.ogg,20.105761878960998,22.191794355250288,24.859910862425878,28.43264212292356,31.57721336752828,1550.390625,2670.1171875,7159.7900390625,12952.2216796875,14836.376953125
2-01 Irving Layton 1.ogg,21.285676155252975,23.499211698366995,25.9439290873381,28.95486718770139,32.601670855911046,3359.1796875,4220.5078125,5200.2685546875,7418.1884765625,12080.126953125
2-01 Joe Rosenblatt I006-11-138.ogg,21.581197455037696,23.91953774989421,26.59877517017471,29.924371116085148,33.138542566630555,2950.048828125,3423.779296875,4295.8740234375,8828.61328125,13393.65234375
2-01 Joel Oppenheimer.ogg,21.19083390128478,23.09914785635869,25.871412829935657,29.44298011145912,32.57320045242671,2185.6201171875,2831.6162109375,3273.046875,3843.6767578125,6718.359375
2-01 Joseph Langland I006-11-126.1.ogg,21.000730601506795,23.460511647678175,26.373023177332733,29.546287661914633,32.9426751750334,2196.38671875,3477.6123046875,4521.97265625,9646.875,13253.6865234375
3-01 Jackson MacLow 1.ogg,23.71249634355808,25.619268330486424,27.114665570373894,28.77508063567995,31.380817195491375,3262.2802734375,3897.509765625,4608.10546875,6739.892578125,10615.869140625
4-01 Margaret Atwood and Alden Nowlan I006-11-036.ogg,21.611050917165613,23.414546655982516,25.312735776750944,28.52432530438918,32.111271071666195,3789.84375,5383.30078125,7299.755859375,8903.9794921875,10637.40234375
7-01 Margaret Avison  1086-11-002.1.ogg,21.466838669120918,23.354492098344917,25.800275061057555,29.473128984521278,32.635645319901855,3369.9462890625,3875.9765625,5092.6025390625,7224.3896484375,9399.2431640625
