filename,contrast_05,contrast_25,contrast_50,contrast_75,contrast_95,rolloff_05,rolloff_25,rolloff_50,rolloff_75,rolloff_95
01 Al Purdy Vancouver I086-11-042.ogg,20.749589757295034,23.45258372694342,27.659873098127427,31.2000821623855,34.48122588849623,3725.244140625,5307.9345703125,6761.42578125,10335.9375,13813.5498046875
01 Al Purdy- Of All People I006-11-037.1.ogg,20.16913092450268,22.790545812524183,26.97852023042692,30.79064330514949,34.04822888549738,2723.9501953125,3219.2138671875,3563.7451171875,8624.0478515625,11972.4609375
01 Al Purdy- Of All People I006-11-037.2.ogg,21.366264603501318,23.41950171536516,26.08524544722284,29.247308674171357,32.75933880958531,2939.2822265625,3746.77734375,5480.2001953125,9259.27734375,11574.0966796875
01 Allen Ginsberg 2.ogg,21.661794079248295,24.809208438297503,27.339916020508838,30.24839030852032,33.331929751776435,4425.0732421875,5566.3330078125,6578.3935546875,8882.4462890625,11531.0302734375
01 Allen Ginsberg.ogg,21.661794079248295,24.809208438297503,27.339916020508838,30.24839030852032,33.331929751776435,4425.0732421875,5566.3330078125,6578.3935546875,8882.4462890625,11531.0302734375
01 Barbara Howes I086-11-024.ogg,21.757685990747788,23.528352817133538,25.66337229210065,28.893679008191295,32.142568037152,3596.044921875,4672.705078125,6686.0595703125,8731.7138671875,11057.2998046875
"01 Bisset, Bill 2.ogg",21.75858197995389,25.109801792580676,28.795510783718342,32.12809257394526,34.879867275917135,2659.3505859375,3283.8134765625,4155.908203125,5490.966796875,12564.6240234375
"01 Bisset, Bill.ogg",21.262577133534556,24.981122887281675,29.132047332183298,31.945658294936358,34.58454919061846,2853.1494140625,3208.447265625,3854.443359375,6072.36328125,12058.59375
01 Charles Reznikoff I006-11-153.ogg,20.757421737993976,22.988111395658947,25.796476153876462,29.693839167467793,33.40645535392338,2357.8857421875,3391.4794921875,5351.0009765625,9722.2412109375,12672.2900390625
01 Charles Simic I006-11-115.ogg,20.21090469595384,21.709245551283335,23.870790176616747,29.62751264047551,33.75268643104677,2939.2822265625,4823.4375,7170.556640625,9183.9111328125,9926.806640625
01 Chris Levenson I006-11-104.1.ogg,20.215976736236776,22.085990707057718,24.71523899923914,28.953055150649348,32.675826146081555,1851.85546875,2885.44921875,5340.234375,10777.3681640625,12650.7568359375
01 Chris Levenson I006-11-104.2.ogg,20.160502761121457,21.955909265787906,24.43196227828357,28.617738530028795,32.36122566285162,2013.3544921875,2960.8154296875,5824.7314453125,11466.4306640625,13006.0546875
01 D.G. Jones and Eli Mandel 2.ogg,19.706394868843425,21.66923576738697,24.512372558416935,28.53057074787058,32.20011075105954,2357.8857421875,3197.6806640625,4640.4052734375,11595.6298828125,13544.384765625
01 D.G. Jones and Eli Mandel.ogg,19.52478440509516,21.38993309624621,24.29661138769707,28.831299507828863,32.59152847131392,1248.92578125,1981.0546875,5307.9345703125,13296.7529296875,14728.7109375
